DG_PRODUCTCD,Action,DG_PRODUCTDESC,MV_PRODUCTCD,MV_GLOBEX_PRODUCTCD,CURRENT_PERIOD,SETTLE_LOW,SETTLE_HIGH,DIVIDE,DG_PRODUCTCD_,IsBraket,Sample MV model,Profile(All/custom/default),RELATIVE_CODE,SERVER DHUB,STL Jobs,Datasets without E file Job
CME_NYMEX_CCS,,none,,,,0,0,100,CCS,,,,CMENYMCCS_REL,,NO,NO
CME_NYMEX_YW,check,none,,,,222,223,10,YW,,,,CMENYMYW_REL,,NO,NO
CME_NYMEX_RRF,,none,,,,5,25,1000,RRF,,,,CMENYMRRF_REL,,NO,NO
CME_NYMEX_MKC,,none,,,,350,700,10,MKC,,,,CMENYMMKC_REL,,NO,NO
CME_NYMEX_SM,,none,,,,250,500,10,SM,,,,CMENYMSM_REL,,NO,NO
CME_NYMEX_TYF,,none,,,,50,200,1000,TYF,,,,CMENYMTYF_REL,,YES,NO
CME_NYMEX_AEP,,none,,,,75,200,,AEP,,,,CMENYMAEP_REL,,YES,NO
CME_NYMEX_3YR,,none,,,,75,150,1000,3YR,,,,CMENYM3YR_REL,,YES,NO
CME_NYMEX_EDP,,none,,,,100,300,,EDP,,,,CMENYMEDP_REL,,YES,NO
CME_NYMEX_FV,,none,,,,100,150,1000,FV,,,,CMENYMFV_REL,,YES,NO
CME_NYMEX_ALI,,none,,,,2000,2500,,ALI,,,,CMENYMALI_REL,,YES,NO
CME_NYMEX_W,,none,,,,350,650,10,W,,,,CMENYMW_REL,,NO,NO
CME_NYMEX_BO,,none,,,,10,50,100,BO,,,,CMENYMBO_REL,,NO,NO
CME_NYMEX_C,,none,,,,300,500,10,C,,,,CMENYMC_REL,,NO,NO
CME_NYMEX_S,,none,,,,700,1500,10,S,,,,CMENYMS_REL,,NO,NO
CME_NYMEX_ACF,,none,,,,1,3,1000,ACF,,,,CMENYMACF_REL,,NO,NO
CME_NYMEX_US,,none,,,,100,200,100,US,,,,CMENYMUS_REL,,YES,NO
CME_NYMEX_TU,,none,,,,100,200,1000,TU,,,,CMENYMTU_REL,,YES,NO
CME_NYMEX_HG,,none,,,,1,5,,HG,,,,CMENYMHG_REL,,YES,NO
CME_NYMEX_SI,,none,,,,5,50,,SI,,,,CMENYMSI_REL,,YES,NO
CME_NYMEX_MJP,,none,,,,50,200,,MJP,,,,CMENYMMJP_REL,,YES,NO
CME_NYMEX_GC,,none,,,,1000,1500,,GC,,,,CMENYMGC_REL,,YES,NO
CME_NYMEX_33,,none,,,,-5,5,,33,,,,CMENYM33_REL,,NO,NO
CME_NYMEX_7H,,none,,,,500,1000,,7H,,,,CMENYM7H_REL,,NO,NO
CME_NYMEX_0D,,none,,,,250,600,,0D,,,,CMENYM0D_REL,,NO,NO
CME_NYMEX_7K,,none,,,,1,17,,7K,,,,CMENYM7K_REL,,NO,NO
CME_NYMEX_0B,,none,,,,250,500,,0B,,,,CMENYM0B_REL,,NO,NO
CME_NYMEX_3G,,none,,,,500,850,,3G,,,,CMENYM3G_REL,,NO,NO
CME_NYMEX_6T,,none,,,,0,0,,6T,,,,CMENYM6T_REL,,NO,NO
CME_NYMEX_47,,none,,,,10,100,,47,,,,CMENYM47_REL,,NO,NO
CME_NYMEX_4N,,none,,,,0,0,,4N,,,,CMENYM4N_REL,,NO,NO
CME_NYMEX_4SN,,none,,,,0,0,,4SN,,,,CMENYM4SN_REL,,NO,NO
CME_NYMEX_46,,none,,,,10,100,,46,,,,CMENYM46_REL,,NO,NO
CME_NYMEX_58,,none,,,,0,0,,58,,,,CMENYM58_REL,,NO,NO
CME_NYMEX_55,,none,,,,0,0,,55,,,,CMENYM55_REL,,NO,NO
CME_NYMEX_4P,,none,,,,10,100,,4P,,,,CMENYM4P_REL,,NO,NO
CME_NYMEX_4L,,none,,,,10,150,,4L,,,,CMENYM4L_REL,,NO,NO
CME_NYMEX_4M,,none,,,,10,100,,4M,,,,CMENYM4M_REL,,NO,NO
CME_NYMEX_1W,,none,,,,250,550,,1W,,,,CMENYM1W_REL,,NO,NO
CME_NYMEX_1X,,none,,,,300,550,,1X,,,,CMENYM1X_REL,,NO,NO
CME_NYMEX_7D,,none,,,,200,500,,7D,,,,CMENYM7D_REL,,NO,NO
CME_NYMEX_1NB,,none,,,,1,20,,1NB,,,,CMENYM1NB_REL,,NO,NO
CME_NYMEX_1N,,none,,,,50,100,,1N,,,,CMENYM1N_REL,,NO,NO
CME_NYMEX_5C,,none,,,,-2,2,,5C,,,,CMENYM5C_REL,,NO,NO
CME_NYMEX_4C,,none,,,,0,0,,4C,,,,CMENYM4C_REL,,NO,NO
CME_NYMEX_7E,,none,,,,400,650,,7E,,,,CMENYM7E_REL,,NO,NO
CME_NYMEX_3C,,none,,,,0,0,,3C,,,,CMENYM3C_REL,,NO,NO
CME_NYMEX_BZ,,none,,,,50,100,,BZ,,,,CMENYMBZ_REL,,NO,NO
CME_NYMEX_CL,,none,,,,40,100,,CL,,,,CMENYMCL_REL,,YES,NO
CME_NYMEX_B4,,none,,,,0,15,,B4,,,,CMENYMB4_REL,,NO,NO
CME_NYMEX_ACM,,none,,,,40,100,,ACM,,,,CMENYMACM_REL,,YES,NO
CME_NYMEX_BK,,none,,,,-15,-5,,BK,,,,CMENYMBK_REL,,NO,NO
CME_NYMEX_E5,,none,,,,1,12,,E5,,,,CMENYME5_REL,,YES,NO
CME_NYMEX_A6,,none,,,,-1,2,,A6,,,,CMENYMA6_REL,,NO,NO
CME_NYMEX_A8,,none,,,,-2,1,,A8,,,,CMENYMA8_REL,,NO,NO
CME_NYMEX_BOB,,none,,,,-50,-7,,BOB,,,,CMENYMBOB_REL,,NO,NO
CME_NYMEX_7L,,none,,,,500,900,,7L,,,,CMENYM7L_REL,,NO,NO
CME_NYMEX_BB,,none,,,,20,100,,BB,,,,CMENYMBB_REL,,NO,NO
CME_NYMEX_D8,,none,,,,15,60,,D8,,,,CMENYMD8_REL,,NO,NO
CME_NYMEX_D9,,none,,,,10,50,,D9,,,,CMENYMD9_REL,,NO,NO
CME_NYMEX_D7,,none,,,,20,70,,D7,,,,CMENYMD7_REL,,NO,NO
CME_NYMEX_EJ,,none,,,,10,50,,EJ,,,,CMENYMEJ_REL,,NO,NO
CME_NYMEX_EM,,none,,,,20,70,,EM,,,,CMENYMEM_REL,,NO,NO
CME_NYMEX_E4,,none,,,,10,100,,E4,,,,CMENYME4_REL,,NO,NO
CME_NYMEX_D3,,none,,,,20,200,,D3,,,,CMENYMD3_REL,,NO,NO
CME_NYMEX_D4,,none,,,,15,100,,D4,,,,CMENYMD4_REL,,NO,NO
CME_NYMEX_E3,,none,,,,10,150,,E3,,,,CMENYME3_REL,,NO,NO
CME_NYMEX_8E,,none,,,,0,0,,8E,,,,CMENYM8E_REL,,NO,NO
CME_NYMEX_B3,,none,,,,10,60,,B3,,,,CMENYMB3_REL,,NO,NO
CME_NYMEX_A3,,none,,,,0,0,,A3,,,,CMENYMA3_REL,,NO,NO
CME_NYMEX_8X,,none,,,,-5,-0.001,,8X,,,,CMENYM8X_REL,,NO,NO
CME_NYMEX_9F,,none,,,,-2,-0.01,,9F,,,,CMENYM9F_REL,,NO,NO
CME_NYMEX_8Z,,none,,,,-1,-0.1,,8Z,,,,CMENYM8Z_REL,,NO,NO
CME_NYMEX_CI,,none,,,,-5,1,,CI,,,,CMENYMCI_REL,,NO,NO
CME_NYMEX_CY,,none,,,,50,100,,CY,,,,CMENYMCY_REL,,NO,NO
CME_NYMEX_EFM,,none,,,,0,0,,EFM,,,,CMENYMEFM_REL,,NO,NO
CME_NYMEX_CRB,,none,,,,-1,-0.01,,CRB,,,,CMENYMCRB_REL,,NO,NO
CME_NYMEX_91,,none,,,,10,70,,91,,,,CMENYM91_REL,,NO,NO
CME_NYMEX_D46,,none,,,,0,0,,D46,,,,CMENYMD46_REL,,NO,NO
CME_NYMEX_A7,,none,,,,1,5,,A7,,,,CMENYMA7_REL,,NO,NO
CME_NYMEX_CSW,,none,,,,-1,5,,CSW,,,,CMENYMCSW_REL,,NO,NO
CME_NYMEX_7Y,check,none,,,,-0.0001,1,,7Y,,,,CMENYM7Y_REL,,NO,NO
CME_NYMEX_BFR,,none,,,,-10,1000,,BFR,,,,CMENYMBFR_REL,,YES,NO
CME_NYMEX_8L,,none,,,,5,0.5,,8L,,,,CMENYM8L_REL,,NO,NO
CME_NYMEX_8K,,none,,,,0,0,,8K,,,,CMENYM8K_REL,,NO,NO
CME_NYMEX_7Q,,none,,,,0.5,5,,7Q,,,,CMENYM7Q_REL,,NO,NO
CME_NYMEX_8I,,none,,,,0.2,3,,8I,,,,CMENYM8I_REL,,NO,NO
CME_NYMEX_CIL,,none,,,,-15,-1,,CIL,,,,CMENYMCIL_REL,,NO,NO
CME_NYMEX_BUS,,none,,,,300,600,,BUS,,,,CMENYMBUS_REL,,YES,NO
CME_NYMEX_9N,,none,,,,350,650,,9N,,,,CMENYM9N_REL,,NO,NO
CME_NYMEX_D0,,none,,,,0.1,2,,D0,,,,CMENYMD0_REL,,NO,NO
CME_NYMEX_CS,,none,,,,40,100,,CS,,,,CMENYMCS_REL,,YES,NO
CME_NYMEX_ALW,,none,,,,100,350,,ALW,,,,CMENYMALW_REL,,NO,NO
CME_NYMEX_CU,,none,,,,1,3,,CU,,,,CMENYMCU_REL,,NO,NO
CME_NYMEX_ET,,none,,,,-5,4,,ET,,,,CMENYMET_REL,,NO,NO
CME_NYMEX_FBT,,none,,,,-1,2,,FBT,,,,CMENYMFBT_REL,,YES,NO
CME_NYMEX_FBD,,none,,,,0,0,,FBD,,,,CMENYMFBD_REL,,NO,NO
CME_NYMEX_FF,,none,,,,-17,2,,FF,,,,CMENYMFF_REL,,NO,NO
CME_NYMEX_EOB,,none,,,,1,30,,EOB,,,,CMENYMEOB_REL,,NO,NO
CME_NYMEX_FO,,none,,,,-50,-5,,FO,,,,CMENYMFO_REL,,NO,NO
CME_NYMEX_EN,,none,,,,-10,1,,EN,,,,CMENYMEN_REL,,NO,NO
CME_NYMEX_EW,,none,,,,10,50,,EW,,,,CMENYMEW_REL,,NO,NO
CME_NYMEX_FI,,none,,,,0,0,,FI,,,,CMENYMFI_REL,,NO,NO
CME_NYMEX_EVC,,none,,,,5,50,,EVC,,,,CMENYMEVC_REL,,NO,NO
CME_NYMEX_EXR,,none,,,,-0.1,1,,EXR,,,,CMENYMEXR_REL,,NO,NO
CME_NYMEX_F2,,none,,,,10,100,,F2,,,,CMENYMF2_REL,,NO,NO
CME_NYMEX_FLP,,none,,,,10,50,,FLP,,,,CMENYMFLP_REL,,NO,NO
CME_NYMEX_ENS,,none,,,,1,15,,ENS,,,,CMENYMENS_REL,,NO,NO
CME_NYMEX_EPN,,none,,,,-200,-15,,EPN,,,,CMENYMEPN_REL,,NO,NO
CME_NYMEX_FK,,none,,,,-7,15,,FK,,,,CMENYMFK_REL,,NO,NO
CME_NYMEX_EWN,,none,,,,0.2,30,,EWN,,,,CMENYMEWN_REL,,NO,NO
CME_NYMEX_F4,,none,,,,10,100,,F4,,,,CMENYMF4_REL,,NO,NO
CME_NYMEX_EZ,,none,,,,1,3,,EZ,,,,CMENYMEZ_REL,,NO,NO
CME_NYMEX_FH,,none,,,,-17,0.1,,FH,,,,CMENYMFH_REL,,NO,NO
CME_NYMEX_DA,,none,,,,5,22,,DA,,,,CMENYMDA_REL,,NO,NO
CME_NYMEX_DK,,none,,,,0,0,,DK,,,,CMENYMDK_REL,,NO,NO
CME_NYMEX_NF,check,none,,,,50,100,,NF,,,,CMENYMNF_REL,,NO,NO
CME_NYMEX_CB,,none,,,,150,300,,CB,,,,CMENYMCB_REL,,NO,NO
CME_NYMEX_CSC,,none,,,,1,3,,CSC,,,,CMENYMCSC_REL,,NO,NO
CME_NYMEX_DY,,none,,,,10,50,,DY,,,,CMENYMDY_REL,,NO,NO
CME_NYMEX_LC,,none,,,,0,0,,LC,,,,CMENYMLC_REL,,NO,NO
CME_NYMEX_FC,,none,,,,100,200,,FC,,,,CMENYMFC_REL,,NO,NO
CME_NYMEX_LH,,none,,,,30,100,,LH,,,,CMENYMLH_REL,,NO,NO
CME_NYMEX_LB,,none,,,,350,800,,LB,,,,CMENYMLB_REL,,NO,NO
CME_NYMEX_CPO,,none,,,,500,750,,CPO,,,,CMENYMCPO_REL,,NO,NO
CME_NYMEX_BRL,,none,,,,0,0,,BRL,,,,CMENYMBRL_REL,,NO,NO
CME_NYMEX_AD,,none,,,,0.2,2,,AD,,,,CMENYMAD_REL,,YES,YES
CME_NYMEX_CPC,,none,,,,450,800,,CPC,,,,CMENYMCPC_REL,,NO,NO
CME_NYMEX_MP,,none,,,,0,0,,MP,,,,CMENYMMP_REL,,NO,NO
CME_NYMEX_SF,,none,,,,0,0,,SF,,,,CMENYMSF_REL,,YES,NO
CME_NYMEX_EC,,none,,,,0.5,2,,EC,,,,CMENYMEC_REL,,YES,NO
CME_NYMEX_HK,,none,,,,10,40,,HK,,,,CMENYMHK_REL,,NO,NO
CME_NYMEX_GRS,,none,,,,0,0,,GRS,,,,CMENYMGRS_REL,,NO,NO
CME_NYMEX_GA,,none,,,,-3,-0.001,,GA,,,,CMENYMGA_REL,,NO,NO
CME_NYMEX_FS,,none,,,,1,300,,FS,,,,CMENYMFS_REL,,NO,NO
CME_NYMEX_FY,,none,,,,-5,1,,FY,,,,CMENYMFY_REL,,NO,NO
CME_NYMEX_GCU,,none,,,,-3,1,,GCU,,,,CMENYMGCU_REL,,NO,NO
CME_NYMEX_HA,,none,,,,0,0,,HA,,,,CMENYMHA_REL,,NO,NO
CME_NYMEX_I5,,none,,,,10,200,,I5,,,,CMENYMI5_REL,,NO,NO
CME_NYMEX_HMW,,none,,,,10,70,,HMW,,,,CMENYMHMW_REL,,NO,NO
CME_NYMEX_HB,,none,,,,-0.1,0.5,,HB,,,,CMENYMHB_REL,,NO,NO
CME_NYMEX_I6,,none,,,,10,60,,I6,,,,CMENYMI6_REL,,NO,NO
CME_NYMEX_HMO,,none,,,,10,50,,HMO,,,,CMENYMHMO_REL,,NO,NO
CME_NYMEX_HH,,none,,,,1,6,,HH,,,,CMENYMHH_REL,,NO,NO
CME_NYMEX_GCI,,none,,,,-20,-5,,GCI,,,,CMENYMGCI_REL,,NO,NO
CME_NYMEX_FP,,none,,,,0,0,,FP,,,,CMENYMFP_REL,,NO,NO
CME_NYMEX_GCC,,none,,,,10,30,,GCC,,,,CMENYMGCC_REL,,NO,NO
CME_NYMEX_HTT,,none,,,,0,15,,HTT,,,,CMENYMHTT_REL,,NO,NO
CME_NYMEX_GCM,,none,,,,0,4,,GCM,,,,CMENYMGCM_REL,,NO,NO
CME_NYMEX_GE,,none,,,,1,5,,GE,,,,CMENYMGE_REL,,NO,NO
CME_NYMEX_HRC,,none,,,,500,1200,,HRC,,,,CMENYMHRC_REL,,YES,NO
CME_NYMEX_HO,,none,,,,1.8369,2.2896,,HO,,,,CMENYMHO_REL,,YES,NO
CME_NYMEX_KE,,none,,,,0,0,,KE,,,,CMENYMKE_REL,,NO,NO
CME_NYMEX_LE,,none,,,,0,0,,LE,,,,CMENYMLE_REL,,NO,NO
CME_NYMEX_MBE,,none,,,,0.05,1,,MBE,,,,CMENYMMBE_REL,,NO,NO
CME_NYMEX_P6,,none,,,,0,0,,P6,,,,CMENYMP6_REL,,NO,NO
CME_NYMEX_PGP,,none,,,,0.1,1,,PGP,,,,CMENYMPGP_REL,,NO,NO
CME_NYMEX_LT,,none,,,,-1,-0.01,,LT,,,,CMENYMLT_REL,,NO,NO
CME_NYMEX_JC,,none,,,,20,150,,JC,,,,CMENYMJC_REL,,NO,NO
CME_NYMEX_KS,,none,,,,50,150,,KS,,,,CMENYMKS_REL,,NO,NO
CME_NYMEX_MTF,,none,,,,50,150,,MTF,,,,CMENYMMTF_REL,,YES,NO
CME_NYMEX_MFF,,none,,,,50,160,,MFF,,,,CMENYMMFF_REL,,YES,NO
CME_NYMEX_KT,,none,,,,0,3,,KT,,,,CMENYMKT_REL,,NO,NO
CME_NYMEX_MTS,,none,,,,250,600,,MTS,,,,CMENYMMTS_REL,,NO,NO
CME_NYMEX_MXB,,none,,,,-1,1,,MXB,,,,CMENYMMXB_REL,,NO,NO
CME_NYMEX_NYF,,none,,,,-1,3,,NYF,,,,CMENYMNYF_REL,,NO,NO
CME_NYMEX_MNC,,none,,,,400,1000,,MNC,,,,CMENYMMNC_REL,,NO,NO
CME_NYMEX_MEO,,none,,,,0,0,,MEO,,,,CMENYMMEO_REL,,NO,NO
CME_NYMEX_J2,,none,,,,0,0,,J2,,,,CMENYMJ2_REL,,NO,NO
CME_NYMEX_IN,,none,,,,-1,0.1,,IN,,,,CMENYMIN_REL,,NO,NO
CME_NYMEX_JM,,none,,,,20,100,,JM,,,,CMENYMJM_REL,,NO,NO
CME_NYMEX_J4,,none,,,,20,100,,J4,,,,CMENYMJ4_REL,,NO,NO
CME_NYMEX_MF,,none,,,,20,100,,MF,,,,CMENYMMF_REL,,NO,NO
CME_NYMEX_MG,,none,,,,-20,-0.1,,MG,,,,CMENYMMG_REL,,NO,NO
CME_NYMEX_LY,,none,,,,1,5,,LY,,,,CMENYMLY_REL,,NO,NO
CME_NYMEX_PF,,none,,,,-1,3,,PF,,,,CMENYMPF_REL,,NO,NO
CME_NYMEX_PE,,none,,,,-2,1,,PE,,,,CMENYMPE_REL,,NO,NO
CME_NYMEX_PG,,none,,,,-2,-0.01,,PG,,,,CMENYMPG_REL,,NO,NO
CME_NYMEX_JL,,none,,,,0.005,1,,JL,,,,CMENYMJL_REL,,NO,NO
CME_NYMEX_NG,,none,,,,1,6,,NG,,,,CMENYMNG_REL,,YES,NO
CME_NYMEX_PS,,none,,,,0,0,,PS,,,,CMENYMPS_REL,,NO,NO
CME_NYMEX_JA,,none,,,,200,1000,,JA,,,,CMENYMJA_REL,,NO,NO
CME_NYMEX_JET,,none,,,,-0.1,0.1,,JET,,,,CMENYMJET_REL,,NO,NO
CME_NYMEX_LPS,,none,,,,0.0001,1,,LPS,,,,CMENYMLPS_REL,,NO,NO
CME_NYMEX_MB,,none,,,,20,100,,MB,,,,CMENYMMB_REL,,NO,NO
CME_NYMEX_ME,,none,,,,-1,-0.001,,ME,,,,CMENYMME_REL,,NO,NO
CME_NYMEX_PA,,none,,,,500,1500,,PA,,,,CMENYMPA_REL,,YES,NO
CME_NYMEX_JB,,none,,,,0,0,,JB,,,,CMENYMJB_REL,,NO,NO
CME_NYMEX_PD,,none,,,,-1,1,,PD,,,,CMENYMPD_REL,,NO,NO
CME_NYMEX_QLD,,none,,,,0,0,,QLD,,,,CMENYMQLD_REL,,NO,NO
CME_NYMEX_MCC,,none,,,,30,70,,MCC,,,,CMENYMMCC_REL,,NO,NO
CME_NYMEX_PL,,none,,,,500,1300,,PL,,,,CMENYMPL_REL,,YES,NO
CME_NYMEX_NOB,,none,,,,-10,1,,NOB,,,,CMENYMNOB_REL,,NO,NO
CME_NYMEX_MNB,,none,,,,0.0005,5,,MNB,,,,CMENYMMNB_REL,,NO,NO
CME_NYMEX_RM,,none,,,,5,40,,RM,,,,CMENYMRM_REL,,NO,NO
CME_NYMEX_RV,,none,,,,0,0,,RV,,,,CMENYMRV_REL,,NO,NO
CME_NYMEX_Z1,,none,,,,300,600,,Z1,,,,CMENYMZ1_REL,,NO,NO
CME_NYMEX_YO,,none,,,,0.01,1,,YO,,,,CMENYMYO_REL,,NO,NO
CME_NYMEX_TP,,none,,,,0,15,,TP,,,,CMENYMTP_REL,,NO,NO
CME_NYMEX_RK,,none,,,,-2,5,,RK,,,,CMENYMRK_REL,,NO,NO
CME_NYMEX_UN,,none,,,,300,1000,,UN,,,,CMENYMUN_REL,,NO,NO
CME_NYMEX_WQ,,none,,,,-25,-2,,WQ,,,,CMENYMWQ_REL,,NO,NO
CME_NYMEX_RBF,,none,,,,0,0,,RBF,,,,CMENYMRBF_REL,,YES,NO
CME_NYMEX_SSI,,none,,,,-15,4,,SSI,,,,CMENYMSSI_REL,,YES,NO
CME_NYMEX_UJ,,none,,,,300,1000,,UJ,,,,CMENYMUJ_REL,,NO,NO
CME_NYMEX_WJ,,none,,,,1,15,,WJ,,,,CMENYMWJ_REL,,YES,NO
CME_NYMEX_RU,,none,,,,0,0,,RU,,,,CMENYMRU_REL,,NO,NO
CME_NYMEX_YV,,none,,,,-4,10,,YV,,,,CMENYMYV_REL,,NO,NO
CME_NYMEX_WCE,,none,,,,0,0,,WCE,,,,CMENYMWCE_REL,,NO,NO
CME_NYMEX_UB,,none,,,,30,100,,UB,,,,CMENYMUB_REL,,YES,NO
CME_NYMEX_RBB,,none,,,,1,50,,RBB,,,,CMENYMRBB_REL,,NO,NO
CME_NYMEX_RL,,none,,,,1,5,,RL,,,,CMENYMRL_REL,,NO,NO
CME_NYMEX_Z7,,none,,,,1,20,,Z7,,,,CMENYMZ7_REL,,NO,NO
CME_NYMEX_SD,,none,,,,1,30,,SD,,,,CMENYMSD_REL,,NO,NO
CME_NYMEX_SG,,none,,,,50,150,,SG,,,,CMENYMSG_REL,,NO,NO
CME_NYMEX_UF,,none,,,,200,600,,UF,,,,CMENYMUF_REL,,NO,NO
CME_NYMEX_UA,,none,,,,250,600,,UA,,,,CMENYMUA_REL,,NO,NO
CME_NYMEX_YH,,none,,,,0,0,,YH,,,,CMENYMYH_REL,,NO,NO
CME_NYMEX_XO,,none,,,,0,0,,XO,,,,CMENYMXO_REL,,NO,NO
CME_NYMEX_TC,,none,,,,-1,1,,TC,,,,CMENYMTC_REL,,NO,NO
CME_NYMEX_Z4,,none,,,,0,0,,Z4,,,,CMENYMZ4_REL,,NO,NO
CME_NYMEX_RVG,,none,,,,-1,1,,RVG,,,,CMENYMRVG_REL,,NO,NO
CME_NYMEX_VL,,none,,,,300,1000,,VL,,,,CMENYMVL_REL,,NO,NO
CME_NYMEX_UI,,none,,,,200,700,,UI,,,,CMENYMUI_REL,,NO,NO
CME_NYMEX_RI,,none,,,,0,0,,RI,,,,CMENYMRI_REL,,NO,NO
CME_NYMEX_WTT,,none,,,,-17,3,,WTT,,,,CMENYMWTT_REL,,NO,NO
CME_NYMEX_UY,,none,,,,0,0,,UY,,,,CMENYMUY_REL,,NO,NO
CME_NYMEX_V0,,none,,,,50,150,,V0,,,,CMENYMV0_REL,,NO,NO
CME_NYMEX_RY,,none,,,,0,0,,RY,,,,CMENYMRY_REL,,NO,NO
CME_NYMEX_UH,,none,,,,0,0,,UH,,,,CMENYMUH_REL,,NO,NO
CME_NYMEX_YX,,none,,,,-10,15,,YX,,,,CMENYMYX_REL,,YES,NO
CME_NYMEX_QP,,none,,,,5,30,,QP,,,,CMENYMQP_REL,,NO,NO
CME_NYMEX_RB,,none,,,,0,5,,RB,,,,CMENYMRB_REL,,YES,NO
CME_NYMEX_QX,,none,,,,30,100,,QX,,,,CMENYMQX_REL,,NO,NO
CME_NYMEX_TIO,,none,,,,30,100,,TIO,,,,CMENYMTIO_REL,,NO,NO
CME_NYMEX_SE,,none,,,,250,700,,SE,,,,CMENYMSE_REL,,NO,NO
CME_NYMEX_WCC,,none,,,,-50,-10,,WCC,,,,CMENYMWCC_REL,,YES,NO
CME_NYMEX_UV,,none,,,,200,600,,UV,,,,CMENYMUV_REL,,YES,NO
CME_NYMEX_SSF,,none,,,,0,0,,SSF,,,,CMENYMSSF_REL,,NO,NO
CME_NYMEX_BCF,,none,,,,130,270,,BCF,,,,CMENYMBCF_REL,,NO,NO
CME_NYMEX_BWF,,none,,,,130,270,100,BWF,,,,CMENYMBWF_REL,,NO,NO
CME_NYMEX_US,,none,,,,0,0,100,US,,,,CMENYMUS_REL,,NO,NO
CME_NYMEX_ALA,,none,,,,250,800,,ALA,,,,CMENYMALA_REL,,YES,NO
CME_NYMEX_AUP,,none,,,,0.01,1,,AUP,,,,CMENYMAUP_REL,,YES,NO
CME_NYMEX_CUP,,none,,,,30,100,,CUP,,,,CMENYMCUP_REL,,YES,NO
CME_NYMEX_LC,,none,,,,0,0,,LC,,,,CMENYMLC_REL,,NO,NO
CME_NYMEX_AD,,none,,,,0.1,2,,AD,,,,CMENYMAD_REL,,NO,NO
CME_NYMEX_BP,,none,,,,0.1,5,,BP,,,,CMENYMBP_REL,,YES,YES
CME_NYMEX_BR,,none,,,,0.01,3,,BR,,,,CMENYMBR_REL,,NO,NO
